objid,raMean,decMean,raMeanErr,decMeanErr,gPSFMag,gPSFMagErr,gKronMag,gKronMagErr,rPSFMag,rPSFMagErr,rKronMag,rKronMagErr,iPSFMag,iPSFMagErr,iKronMag,iKronMagErr,zPSFMag,zPSFMagErr,zKronMag,zKronMagErr,yPSFMag,yPSFMagErr,yKronMag,yKronMagErr,objInfoFlag,qualityFlag,nDetections,nStackDetections,ginfoFlag,ginfoFlag2,ginfoFlag3,rinfoFlag,rinfoFlag2,rinfoFlag3,iinfoFlag,iinfoFlag2,iinfoFlag3,zinfoFlag,zinfoFlag2,zinfoFlag3,yinfoFlag,yinfoFlag2,yinfoFlag3,pmra,pmdec
169073348295684302,334.829546393082,50.8946996114991,0.0080821508157217,0.0080821508157217,22.9074001312256,0.146248996257782,-999,-999,21.9207000732422,0.0750029981136322,-999,-999,20.5102005004883,0.0188909992575645,20.7141990661621,0.0314260013401508,19.881799697876,0.0294250007718802,20.0081996917725,0.045839000493288,19.5077991485596,0.042468998581171,20.0323009490967,0.093809999525547,436527104,52,34,4,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-18.0154018213709,-2.64795247626879
169083348191766030,334.819146336628,50.9044554734642,0.00567198271149439,0.00567198271149439,21.6378993988037,0.0500589981675148,22.1443996429443,0.106214001774788,20.6523990631104,0.0210570003837347,20.8393993377686,0.0350250005722046,20.1506004333496,0.0140450000762939,20.3412990570068,0.023429999127984,20.0163993835449,0.0310059990733862,20.2077007293701,0.0527810007333755,19.6723003387451,0.0507019981741905,19.8159008026123,0.0926000028848648,436527104,52,53,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-6.67802485443363,0.141343465720924
169083348193120891,334.819293974577,50.9001708199537,0.000573499704369071,0.000536145975826529,17.5377998352051,0.00281700002960861,17.5881996154785,0.0028029999230057,16.9829006195068,0.00174400000832975,17.011100769043,0.00183800002560019,16.7455997467041,0.00167999998666346,16.7723007202148,0.00184000004082918,16.6585998535156,0.00236500008031726,16.6686000823975,0.00318200001493096,16.5793991088867,0.00434299977496266,16.5835990905762,0.00649899989366531,503635968,60,61,5,102760453,128,196608,102760453,128,196608,102760453,128,196608,102760453,128,196608,102760453,128,196608,-0.605752309479246,-5.2595346679491
169083348193413472,334.819328451394,50.9023198451821,0.00231118933675299,0.00224756770323026,20.0513000488281,0.013505999930203,20.1807994842529,0.0184289999306202,19.2394008636475,0.00733700022101402,19.4004001617432,0.0101920003071427,18.9382991790771,0.00547700002789497,19.1200008392334,0.00802099984139204,18.8344993591309,0.011281999759376,18.9412994384766,0.0175739992409945,18.6805000305176,0.0222529992461205,18.8222999572754,0.034961998462677,436527104,52,58,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-2.86313554975913,-2.09263361245665
169083348201923904,334.820196306869,50.9026740889557,0.0210448243574233,0.0210448243574233,24.3241996765137,0.552034974098206,-999,-999,22.1009006500244,0.0778020024299622,-999,-999,20.909200668335,0.0271690003573895,-999,-999,20.3246994018555,0.040582001209259,20.4941005706787,0.0727989971637726,19.9258995056152,0.0689859986305237,19.5876998901367,0.0994729995727539,436527104,52,10,3,35651585,4,196608,35651585,4,196608,35667969,0,196608,35667969,0,196608,35667969,0,196608,-44.4537966891991,-15.3542704713378
169083348211192515,334.821104783187,50.9015224791895,0.00465273038591027,0.00465273038591027,21.1606998443604,0.0328340008854866,21.5067005157471,0.058278001844883,20.1667995452881,0.0146300001069903,20.3787002563477,0.0239770002663136,19.7336006164551,0.0102080004289746,19.8806991577148,0.0162749998271465,19.5286998748779,0.0216649994254112,19.6562995910645,0.0337289981544018,19.429500579834,0.0395230017602444,19.6082992553711,0.0645489990711212,436527104,52,51,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,1.90180824341808,7.50479724749759
169083348255217803,334.825490706998,50.9059302274095,0.00272371019136515,0.00272149926013519,19.9964008331299,0.0133659997954965,20.2117004394531,0.0191789995878935,19.415599822998,0.00738100009039044,19.6375999450684,0.0119230002164841,19.2031993865967,0.00693000014871359,18.9188995361328,0.0110659999772906,19.0515995025635,0.0157539993524551,19.3589992523193,0.0275899991393089,18.8173007965088,0.0239150002598763,19.0524997711182,0.0400959998369217,436527104,52,54,5,35651585,0,196608,35651585,0,196608,35667969,0,196608,35651585,0,196608,35651585,0,196608,-8.4845897437294,-0.190076861272753
169083348256865037,334.825686267427,50.9036248774266,0.00017331115715882,0.000166313470706844,14.5216999053955,0.000572999997530133,14.5573997497559,0.000499000016134232,14.0904998779297,0.000381999998353422,14.0900001525879,0.000323999993270263,14.1307001113892,0.00039999998989515,13.9589004516602,0.000303999986499548,13.7582998275757,0.000536000006832182,13.7890996932983,0.000493000028654933,13.6701002120972,0.000700999982655048,13.7055997848511,0.000715999980457127,503635968,60,56,5,102760517,128,196608,103809029,128,196608,102776839,128,196608,103809029,128,196608,102760517,128,196608,9.03427432135033,-2.57060388197575
169083348273108720,334.827290579123,50.9066883807007,0.000406763071357762,0.000382619532196413,17.1968994140625,0.00220800004899502,17.2296009063721,0.00213499995879829,16.6492004394531,0.00144999998155981,-999,-999,16.4813003540039,0.00139600003603846,16.3309001922607,0.00136999995447695,16.2306995391846,0.00174500001594424,16.2159004211426,0.00204900000244379,16.0641002655029,0.00298699992708862,16.1396999359131,0.00389000005088747,503635968,60,60,5,102760453,128,196608,102760517,128,196608,102776839,128,196608,102760453,128,196608,102760453,128,196608,-3.69002451165696,-2.45337447598145
169083348274460663,334.827429160661,50.8999841173678,0.00578117912898814,0.00578117912898814,19.9134006500244,0.0168420001864433,-999,-999,18.8153991699219,0.00654800003394485,-999,-999,18.5583992004395,0.00532699981704354,17.4319000244141,0.00634399987757206,18.3267993927002,0.00854299962520599,-999,-999,18.2131004333496,0.0148679995909333,-999,-999,444915712,53,11,1,35651585,4,196608,35651585,4,196608,35667969,0,196608,35651585,4,196608,35651585,4,196608,-8.07104144889564,-0.401815616361434
169053347541039349,334.754100270517,50.882213879367,0.000320009232364347,0.000297239749314587,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.0522994995117,0.0754550024867058,-999,-999,503635968,60,59,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35651585,4,0,3.96901539745285,-3.12091942965149
169053347541039349,334.754100270517,50.882213879367,0.000320009232364347,0.000297239749314587,16.3085994720459,0.00135100004263222,16.415599822998,0.00128199998289347,15.8887996673584,0.00100899999961257,15.9680004119873,0.000980000011622906,15.7733001708984,0.000867999973706901,15.7833995819092,0.000842000008560717,15.6674995422363,0.00116400001570582,15.7334995269775,0.00125900004059076,15.5804004669189,0.00237699993886054,15.6506996154785,0.00303400005213916,503635968,60,59,5,102760453,128,196608,102760453,128,196608,102760453,128,196608,102760453,128,196608,102760453,128,196608,3.96901539745285,-3.12091942965149
169053347551479961,334.755131322285,50.8827177577289,0.000818167669578135,0.000802215675712646,18.1828002929688,0.00399600015953183,18.3544998168945,0.00474399980157614,17.5837993621826,0.00260900007560849,17.7264003753662,0.00309700006619096,17.4085998535156,0.00199400004930794,-999,-999,17.2119998931885,0.00343600008636713,17.3661994934082,0.00439799996092916,17.1518993377686,0.00708599993959069,17.3071994781494,0.00979700032621622,436527104,52,52,5,102776839,128,196608,102776839,128,196608,102776839,128,196608,102776839,128,196608,102776839,128,196608,-10.7180437539135,-8.10423808973504
169053347631408477,334.763111102148,50.8814846502439,0.0504979123379786,0.0504979123379786,24.1620006561279,0.553171992301941,-999,-999,22.8701000213623,0.142546996474266,-999,-999,21.8719997406006,0.0712549984455109,-999,-999,21.3150997161865,0.119538001716137,-999,-999,20.7992992401123,0.172656998038292,-999,-999,436527104,52,8,4,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-12.2566016044574,47.4233624605943
169053347639616565,334.763901301521,50.8798592983509,0.01617148982162,0.01617148982162,23.0983009338379,0.212566003203392,-999,-999,21.7439002990723,0.050586998462677,22.0631008148193,0.103357002139091,21.3136005401611,0.0411310009658337,21.4393997192383,0.0664660036563873,21.2856998443604,0.121646001935005,-999,-999,20.9270992279053,0.203655004501343,-999,-999,436527104,52,23,4,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-14.7899623107196,-40.9950974704743
169053347656006592,334.765582911073,50.8799116442173,0.0026681598904503,0.00262146822546295,21.9242000579834,0.100469999015331,21.9783992767334,0.129640996456146,20.4902992248535,0.0180820003151894,20.7047004699707,0.0320749990642071,19.1471004486084,0.0061269998550415,19.2336006164551,0.00962899997830391,18.3598003387451,0.0120440004393458,18.6016006469727,0.0184790007770061,18.0247993469238,0.0217879991978407,18.2367000579834,0.0319290012121201,436527104,52,47,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-7.93837014648069,-10.9193923590308
169053347682278414,334.768212822784,50.8814233022172,0.0104165173400219,0.0104165173400219,23.2057991027832,0.29449799656868,-999,-999,21.2793998718262,0.034595999866724,21.1818008422852,0.0499220006167889,20.4773006439209,0.0240710005164146,20.3726005554199,0.0363739989697933,19.9029998779297,0.0362039990723133,19.894100189209,0.0530389994382858,19.5214004516602,0.0634640008211136,19.5228004455566,0.10105899721384,436527104,52,23,4,35651585,4,196608,35667969,0,196608,35667969,0,196608,35667969,0,196608,35651585,0,196608,18.9708453804589,-1.71087872201953
169053347831329517,334.783138947358,50.882358971544,0.014945998002607,0.014945998002607,25.3412990570068,1.39683997631073,-999,-999,22.4360008239746,0.0965759977698326,22.4792995452881,0.158298999071121,21.2656993865967,0.0360889993607998,21.220100402832,0.0505089983344078,20.5734996795654,0.0711119994521141,-999,-999,20.2262001037598,0.0904230028390884,20.5268001556396,0.170458003878593,436527104,52,25,4,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-9.38469392458008,33.1745822148367
