objid,raMean,decMean,raMeanErr,decMeanErr,gPSFMag,gPSFMagErr,gKronMag,gKronMagErr,rPSFMag,rPSFMagErr,rKronMag,rKronMagErr,iPSFMag,iPSFMagErr,iKronMag,iKronMagErr,zPSFMag,zPSFMagErr,zKronMag,zKronMagErr,yPSFMag,yPSFMagErr,yKronMag,yKronMagErr,objInfoFlag,qualityFlag,nDetections,nStackDetections,ginfoFlag,ginfoFlag2,ginfoFlag3,rinfoFlag,rinfoFlag2,rinfoFlag3,iinfoFlag,iinfoFlag2,iinfoFlag3,zinfoFlag,zinfoFlag2,zinfoFlag3,yinfoFlag,yinfoFlag2,yinfoFlag3,pmra,pmdec
169703241579434458,324.157923667537,51.4198498964875,0.0269254990091765,0.0269254990091765,25.4375991821289,1.25720000267029,-999,-999,22.7583999633789,0.122955001890659,-999,-999,21.2243003845215,0.0401800014078617,-999,-999,20.556999206543,0.054907999932766,-999,-999,20.0300006866455,0.0746240019798279,20.2994003295898,0.123350001871586,436527104,52,11,3,35651585,4,196608,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-8.17064922295872,46.2760801099611
169703241587927314,324.158789217714,51.4222010870267,0.00666574442009942,0.00666574442009942,22.8206996917725,0.113204002380371,22.8031005859375,0.15404500067234,21.1121997833252,0.0304329991340637,21.4069004058838,0.0539969988167286,20.2658004760742,0.0176289994269609,20.5454998016357,0.0297570005059242,19.7660999298096,0.0271370001137257,20.0618000030518,0.0442389994859695,19.378999710083,0.0380199998617172,19.6567993164063,0.0651730000972748,436527104,52,46,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-37.2976090808997,6.12738342421111
169703241597322093,324.159724484918,51.4178062305976,0.00460969796602052,0.00460969796602052,22.5835990905762,0.0851320028305054,22.6387996673584,0.137045994400978,21.0793991088867,0.0286480002105236,21.0589008331299,0.0406990014016628,19.7859992980957,0.0111990002915263,19.8278007507324,0.0174129996448755,19.2292003631592,0.0170799996703863,19.326000213623,0.0237300004810095,18.8698997497559,0.0241039991378784,18.880199432373,0.037992000579834,436527104,52,53,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,7.03995539939648,-0.191122339477529
169703241604314329,324.160383951447,51.4196520482884,0.028234005830195,0.028234005830195,25.1233997344971,0.850925981998444,-999,-999,23.0648994445801,0.154606997966766,23.5363006591797,0.34178900718689,21.7392997741699,0.0601160004734993,21.6303997039795,0.0786200016736984,20.6770992279053,0.0519110001623631,20.6884002685547,0.0714100003242493,20.1979007720947,0.0786779969930649,20.073299407959,0.0932310000061989,436527104,52,12,4,35651585,4,196608,35651585,0,196608,35667969,0,196608,35651585,0,196608,35667969,0,196608,-77.9594313793972,-69.3087779122792
169703241614183229,324.16137833044,51.4187618994631,0.0128564525388704,0.0128564525388704,23.3834991455078,0.17509999871254,22.6804008483887,0.179804995656013,22.3061008453369,0.0784559994935989,22.8131008148193,0.177254006266594,20.854700088501,0.0264849998056889,21.1079998016357,0.0463629998266697,20.1830997467041,0.0353819988667965,20.4169998168945,0.0583669990301132,19.8568000793457,0.0578869991004467,19.895299911499,0.0985540002584457,436527104,52,32,5,35667969,0,196608,35651585,0,196608,35651585,0,196608,35667969,0,196608,35667969,0,196608,-7.74426714310772,1.2857945918236
169703241644368824,324.164423128245,51.423425880827,0.00164107884256229,0.0016282557766708,20.538200378418,0.0178420003503561,20.6357002258301,0.0253379996865988,19.256799697876,0.00678100017830729,19.3878993988037,0.00921100005507469,18.4437007904053,0.00359999993816018,18.5741996765137,0.00488900020718575,17.9958000183105,0.00535399978980422,18.1364994049072,0.00699400017037988,17.6615009307861,0.00898300018161535,17.7971000671387,0.013774000108242,436527104,52,68,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,8.8196065116511,-15.9838785875536
169703241649027528,324.164901268459,51.4223395642688,0.00375136964667467,0.00375136964667467,21.7241992950439,0.0441609993577003,21.8216991424561,0.0655279979109764,20.422700881958,0.0154670001938939,20.6336994171143,0.0240139998495579,19.6168003082275,0.00889599975198507,19.7572002410889,0.0132959997281432,19.1187000274658,0.0131569998338819,19.2336006164551,0.0185850001871586,18.7724990844727,0.024082999676466,19.0457992553711,0.0376170016825199,436527104,52,58,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-14.7070654147949,-9.32622010696958
169703241659799360,324.16597928746,51.4238830047443,0.00229401744444903,0.0022946218537957,21.4496994018555,0.0364429987967014,21.6009006500244,0.0567630007863045,19.827600479126,0.0105609996244311,19.9169998168945,0.0147860003635287,18.9512996673584,0.0055669997818768,19.0562992095947,0.00793099962174892,18.4090003967285,0.00736299995332956,18.5485992431641,0.0102709997445345,18.0317001342773,0.0119359996169806,18.2035999298096,0.0178559999912977,503635968,60,63,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,2.48804754323182,-11.8721802224771
169703241662311054,324.166181244555,51.4169669857163,0.019239763395399,0.019239763395399,-999,37.8023986816406,-999,-999,22.4738998413086,0.0938870012760162,22.7616996765137,0.174924001097679,21.6326007843018,0.0490039996802807,22.2474994659424,0.122882999479771,20.7021007537842,0.0482969991862774,21.0823993682861,0.0931190028786659,20.2056999206543,0.104089997708797,20.6597995758057,0.187286004424095,436527104,52,22,4,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,31.647068318848,3.57014807274034
169703241662473272,324.166239972212,51.4188105992099,0.00225883237338256,0.00227205631281299,21.1140995025635,0.0244980007410049,21.1746006011963,0.0365139991044998,19.6674995422363,0.00870000012218952,19.7539005279541,0.0126109998673201,18.9368000030518,0.00493399985134602,19.0503005981445,0.00757100014016032,18.463399887085,0.00770100019872189,18.5972003936768,0.0116320000961423,18.114200592041,0.0127050001174212,18.3052997589111,0.0217320006340742,436527104,52,70,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,3.32667674922298,1.86165314231147
