ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,ob_j,ob_j_error,ob_h,ob_h_error,ob_k,ob_k_error,diff_j,diff_h,diff_k,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflagzinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3
1.047908255905874e+17,82.5590455430637,5.870575630987597e-07,-2.669193346988,6.201353064984817e-07,21.7964992523193,0.0549519993364811,20.221399307251,0.0200360007584095,18.701099395752,0.00417000008746982,18.0039005279541,0.00525399995967746,17.5755996704102,0.0076919998973608,3400.0,4.75,-3.2,-33.506141,-34.657628,-35.905335,-36.456888,-36.72567,-37.10366,-37.298319,-37.0308,53.73956410996435,0.0007050647672388788,0.007386173088167863,16.24090410996435,0.08410295545535841,15.377245109964349,0.08410295545535841,15.07776410996435,0.08410295545535841,3.2169895347346406e+18,82.5590405834977,0.23380123,-2.669187013244721,0.195081,2.9836577416984693,0.32444677,8.775833,-5.521307014446189,0.31592914,6.821320414429707,0.24536413,1.1079383,16.34684,0.03362104,15.711606,0.019899946,15.357699,0.025473675,0.10593605,0.33436108,0.27993488,503635968.0,60.0,49.0,5.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0
1.050708212898857e+17,82.1290120011948,5.317238562531829e-07,-2.43728314519871,5.177595082587517e-07,20.0062007904053,0.0104130003601313,19.0863990783691,0.00611300021409988,18.5916996002197,0.00463399989530444,18.3686008453369,0.00556399999186397,18.2124004364014,0.0108209997415543,5375.0,0.75,0.2,-37.749494,-38.224514,-38.407381,-38.465186,-38.501658,-38.480304,-38.381385,-37.932572,56.13609854989055,6.306508689270837e-05,0.000676592954183552,17.26079454989055,0.08410002364568743,16.690713549890546,0.08410002364568743,16.572526549890547,0.08410002364568743,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.979643,0.05807215,16.603119,0.04676769,16.326674,0.06636757,-0.28115082,-0.087594986,-0.24585342,503635968.0,60.0,85.0,5.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0
1.0458082266303696e+17,82.2663117420245,6.020370879641187e-07,-2.84454774460458,6.051052023792206e-07,19.521900177002,0.0100889997556806,18.9085998535156,0.00595000013709068,18.6278991699219,0.00447299983352423,18.5034008026123,0.00688500003889203,18.3668994903564,0.0142559995874763,6812.5,3.0,-1.8,-39.18006,-39.341963,-39.318833,-39.253909,-39.277879,-39.053121,-38.746066,-38.261662,57.06760261018328,8.156697899717556e-05,7.955618259793418e-05,17.619481610183282,0.08410003955511591,17.25753661018328,0.08410003955511591,17.174940610183278,0.08410003955511591,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.396145,0.07958634,17.295053,0.07786035,17.030691,0.10292629,-0.22333717,0.037517548,-0.14424896,436527104.0,52.0,71.0,5.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0
1.050108260772743e+17,82.6077096471638,4.7183712913548396e-07,-2.48842754309101,4.920048713205615e-07,20.2541999816895,0.0137700000777841,18.9085998535156,0.00694300001487136,18.1860008239746,0.00325600011274219,18.0676002502441,0.0084840003401041,17.7703990936279,0.0100260004401207,4600.0,5.0,-3.0,-36.4742,-37.373354,-37.701802,-37.817537,-37.917927,-38.061563,-38.189122,-37.770865,55.11461387689517,8.41837269358084e-05,0.077730997990952,16.65805087689517,0.08410004213375806,15.861491876895172,0.08410004213375806,15.712748876895171,0.08410004213375806,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.47662,0.034665536,15.7346735,0.017997677,15.60693,0.028326364,-0.18143082,-0.12681866,-0.10581875,503635968.0,60.0,70.0,5.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0
1.0492082691833886e+17,82.6918413860446,1.0517892724739656e-06,-2.55959490094783,1.0682398329695659e-06,22.4843006134033,0.103156998753548,21.0088005065918,0.0319660007953644,19.6555995941162,0.0129479998722672,18.9671001434326,0.00938300043344498,18.6098003387451,0.0162669997662306,3500.0,4.0,-2.0,-33.838199,-34.909514,-35.976273,-36.467298,-36.696002,-37.084184,-37.540632,-37.205506,54.74989752932171,0.00243669965558191,0.005211337602817433,17.270713529321707,0.08413529286340847,16.145265529321705,0.08413529286340847,15.913391529321709,0.08413529286340847,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.390831,0.089624085,16.711653,0.046744,16.542126,0.06643654,0.12011719,0.5663872,0.6287346,436527104.0,52.0,59.0,5.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0
1.0541082297761822e+17,82.297812897612,7.519525804602766e-07,-2.15185485536543,7.366021559827761e-07,21.2661991119385,0.026800999417901,19.9183006286621,0.0120510002598166,19.234899520874,0.0056750001385808,18.9013004302979,0.0106669999659061,18.6103992462158,0.0172540005296469,4312.5,1.0,0.0,-36.053241,-36.969097,-37.327911,-37.509549,-37.678516,-37.866546,-38.070129,-37.654132,55.71380413912666,0.0002614422452366036,0.002537538250937913,17.45225813912666,0.08410040637266619,16.579675139126657,0.08410040637266619,16.42867213912666,0.08410040637266619,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.443417,0.08321487,16.741585,0.049171723,16.432373,0.066417925,-0.008842468,0.1619091,0.0037002563,436527104.0,52.0,76.0,5.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0
1.0459082112906067e+17,82.1129179264938,1.2130400122765128e-06,-2.84143012471779,1.2236747795924885e-06,21.6124992370605,0.0393760018050671,20.5396995544434,0.0199190005660057,19.8887004852295,0.0111910002306104,19.5965995788574,0.0152839999645948,19.300500869751,0.0315009988844395,4562.5,3.25,0.5,-36.621509,-37.305318,-37.627277,-37.773809,-37.875533,-37.985177,-38.090048,-37.687782,56.64504331261982,0.0006596776346995796,0.022108707867321876,18.26486631261982,0.08410258720504217,17.490995312619816,0.08410258720504217,17.32626131261982,0.08410258720504217,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.21833,0.18946116,17.469324,0.08579648,17.267475,0.14936861,-0.046535492,-0.021671295,-0.058786392,436527104.0,52.0,78.0,5.0,35651585.0,128.0,196608.0,35651585.0,128.0,196608.0,35651585.0,128.0,196608.0,35651585.0,128.0,196608.0,35651585.0,128.0,196608.0
1.0462082705640691e+17,82.7056462253939,1.534215152105419e-07,-2.81126868255922,1.5588033881117637e-07,18.3507995605469,0.00375099992379546,17.2593994140625,0.00215599988587201,16.5359992980957,0.00103199994191527,16.1312999725342,0.0017010000301525,15.9226999282837,0.00250800000503659,4375.0,3.0,1.0,-36.288666,-37.052503,-37.425196,-37.600141,-37.71522,-37.853725,-37.984913,-37.607013,53.07409458014331,5.793364988829825e-06,0.03938507023537414,14.825369580143313,0.08410000019954267,14.025181580143311,0.08410000019954267,13.836081580143308,0.08410000019954267,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.707234,0.007459196,14.104223,0.0052715507,13.940432,0.007038943,-0.11813545,0.07904148,0.10435009,503635968.0,60.0,67.0,10.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0
1.0541082552211904e+17,82.5522844577278,1.2027406807863605e-06,-2.15117861679342,1.2085417140421571e-06,21.1851997375488,0.0296819992363453,20.307300567627,0.0165979992598295,19.775899887085,0.0118810003623366,19.4612998962402,0.0127710001543164,19.3208999633789,0.0290779992938042,5187.5,3.0,1.0,-37.485488,-37.967061,-38.190011,-38.276215,-38.333407,-38.332886,-38.299922,-37.863795,57.073890153235524,0.0004612602631155147,0.01117449851691216,18.346004153235523,0.08410126491932406,17.709968153235522,0.08410126491932406,17.57909515323552,0.08410126491932406,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.16977,0.15307645,17.663593,0.10342371,17.533327,0.16248336,-0.1762352,-0.046375275,-0.045768738,436527104.0,52.0,79.0,5.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0
1.0490082539103891e+17,82.5390727260676,3.401062194966343e-07,-2.57626328155817,3.518913763341245e-07,18.7483005523682,0.00495400000363588,18.2457008361816,0.00328899989835918,18.0277004241943,0.00265299994498491,17.9500999450684,0.00479299994185567,17.845100402832,0.00879999995231628,7437.5,3.5,-2.2,-39.651952,-39.702023,-39.609152,-39.500367,-39.495689,-39.23072,-38.859113,-38.366851,56.7604214963268,2.8562178535783185e-05,0.0001034963963258281,17.1347014963268,0.08410000485016658,16.8373084963268,0.08410000485016658,16.762570496326802,0.08410000485016658,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.012123,0.05932431,16.66753,0.042975992,16.622105,0.07801538,-0.12257767,-0.16977882,-0.14046669,436527104.0,52.0,77.0,5.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0
