ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,ob_j,ob_j_error,ob_h,ob_h_error,ob_k,ob_k_error,diff_j,diff_h,diff_k,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflagzinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3
1.1737010953204533e+17,10.9532284376099,3.6425127262274673e-07,7.81231924706646,3.404742050179231e-07,18.7441997528076,0.00559499999508262,18.4162006378174,0.00288400007411838,18.3568000793457,0.00328799989074469,18.278600692749,0.00641900021582842,18.2877006530762,0.0111739998683333,6000.0,0.0,-0.3,-38.531467,-38.805327,-38.851079,-38.89191,-38.904496,-38.74461,-38.499215,-38.037312,57.12403000037407,4.329885229646887e-05,0.0031572600774296914,17.50242000037407,0.0029003232217479124,17.25581500037407,0.0029003232217479124,17.250718000374068,0.0029003232217479124,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.484833,0.06899991,17.137304,0.11808523,16.9058,0.14948165,-0.017587662,-0.1185112,-0.3449173,436527104.0,52.0,72.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.174901081671272e+17,10.8167608230407,3.301470263751433e-07,7.91393336277312,3.148505520314283e-07,20.1168003082275,0.0121569996699691,18.888599395752,0.00423299986869097,18.1044006347656,0.00237299990840256,17.7546005249023,0.00564099987968802,17.5883007049561,0.00720900017768145,3800.0,4.75,-3.0,-34.732958,-35.90967,-36.668444,-36.996916,-37.169657,-37.426465,-37.602636,-37.300924,54.698225655904764,5.102652412673932e-05,0.001190523228684693,16.394760655904765,0.0029004488801157064,15.726589655904768,0.0029004488801157064,15.561301655904762,0.0029004488801157064,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.516157,0.023651537,15.810759,0.03410294,15.644667,0.043388512,0.12139702,0.08416939,0.08336544,503635968.0,60.0,81.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.1756011644010514e+17,11.6441164329705,1.24863498377716e-06,7.97052610619729,1.2167365644883477e-06,22.4859008789063,0.0915630012750626,21.2154006958008,0.0258329994976521,19.8470001220703,0.0111320000141859,19.4088001251221,0.0172649994492531,19.0517997741699,0.0241369996219873,3400.0,5.5,-3.1,-33.382798,-34.623809,-35.872896,-36.417117,-36.682329,-37.065291,-37.261539,-36.995431,55.710258202463024,0.0020111446893186337,0.04580525988927591,17.767967202463023,0.003529122123329617,17.079719202463025,0.003529122123329617,16.878827202463018,0.003529122123329617,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.127504,0.100878805,17.409573,0.12908663,17.116522,0.15884699,0.35953712,0.32985306,0.23769379,436527104.0,52.0,57.0,5.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0
1.1763010823598928e+17,10.8236240334863,6.170826348642013e-08,8.03234490738784,6.144275338459238e-08,16.6180992126465,0.00132399995345622,15.8125,0.000630000024102628,15.4106998443604,0.000471000006655231,15.2069997787476,0.00143499998375773,15.2489004135132,0.00146900000981987,4687.5,0.25,1.0,-36.682143,-37.452784,-37.802268,-37.950224,-38.028238,-38.121768,-38.176843,-37.756943,53.153948824294574,1.317780579125215e-06,0.044827002898410025,14.15518082429457,0.0029000002994044073,13.608105824294576,0.0029000002994044073,13.561005824294574,0.0029000002994044073,2.5577741471413755e+18,10.823623098914618,0.04290363,8.032330086802727,0.021841068,1.4113500449391634,0.04593557,12.581812,1.3420702546261434,0.05340936,-12.510029331540526,0.04836557,0.94997233,14.189282,0.0035010523,13.642831,0.0050083417,13.56577,0.0071355165,0.034101486,0.03472519,0.004764557,503635968.0,60.0,76.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.1733011585613858e+17,11.5856568006295,1.0065052258017533e-07,7.78173278225755,9.557772954319332e-08,18.7954998016357,0.00504200020805001,17.5165996551514,0.00159500003792346,16.3428001403809,0.000715999980457127,15.8517999649048,0.00123199995141476,15.5380001068115,0.00147999997716397,3300.0,3.25,-1.7,-33.357804,-34.586788,-35.729589,-36.237886,-36.489702,-36.878447,-37.092298,-36.832086,52.00183057553399,6.437334200731622e-06,0.007359963683350865,14.246383575533985,0.002900007144693201,13.540532575533987,0.002900007144693201,13.33374457553399,0.002900007144693201,2.557537339824598e+18,11.585685689323231,0.08484507,7.7816984879023385,0.03631942,3.4757012776815595,0.083818965,48.321552,31.38795302803151,0.11263797,-36.739199356203855,0.0890218,0.9531062,14.322444,0.0038973836,13.722711,0.0057817358,13.471602,0.0065704337,0.076060295,0.1821785,0.13785744,503635968.0,60.0,88.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.1722011218699917e+17,11.2187486923157,3.361904160372672e-07,7.69056126584759,3.0651199507575486e-07,18.9710998535156,0.00555399991571903,18.3894996643066,0.00300100003369153,18.1571998596191,0.00254200003109872,18.1014003753662,0.00624699983745813,18.0415000915527,0.0107330000028014,5312.5,0.5,0.0,-37.66001,-38.209091,-38.395848,-38.446086,-38.49926,-38.480048,-38.371839,-37.923209,56.485156772421966,4.0107395290693245e-05,0.0009179412502921982,17.12810877242197,0.0029002773321110177,16.744317772421965,0.0029002773321110177,16.725947772421964,0.0029002773321110177,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.146973,0.045820046,16.625166,0.07206832,16.52879,0.095356874,0.018863678,-0.11915207,-0.19715881,436527104.0,52.0,71.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.1765011432230131e+17,11.4322382204518,1.9701233407172658e-07,8.04232444908977,1.894741370908553e-07,18.2063007354736,0.00320799998007715,17.7434005737305,0.00170899997465312,17.6142997741699,0.0015259999781847,17.5438995361328,0.00361400004476309,17.5221004486084,0.00629500020295382,5687.5,0.5,-0.3,-38.14578,-38.557194,-38.66821,-38.707229,-38.731314,-38.647255,-38.467021,-38.007093,56.19865538334399,1.3645728919539063e-05,0.0009104591540037954,16.67440038334399,0.0029000321042908722,16.362634383343988,0.0029000321042908722,16.35556238334399,0.0029000321042908722,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.661915,0.030280557,16.378817,0.059428222,16.41268,0.080624804,-0.012485504,0.016181946,0.057117462,503635968.0,60.0,87.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.1704011205646786e+17,11.2057107460979,7.659509253734441e-08,7.53948135034623,7.448947572781758e-08,15.9310998916626,0.00127600005362183,15.3550996780396,0.000900999992154539,15.3545999526978,0.000482000003103167,15.3107004165649,0.00127500004600734,15.3496999740601,0.00176100002136081,6125.0,5.0,-2.5,-38.499339,-38.938099,-39.016915,-38.982158,-38.997004,-38.876874,-38.636802,-38.155364,54.25763512057354,1.4798094636496674e-06,0.045002879774945125,14.503761120573538,0.002900000377557915,14.251833120573536,0.002900000377557915,14.26627112057354,0.002900000377557915,2.5575092335585546e+18,11.205707895913276,0.033889122,7.539474730511178,0.019452266,0.4796462964954397,0.039228402,7.2518935,-3.2345014062434525,0.043378256,-6.490605322256283,0.038776048,1.0254384,14.450381,0.0044998224,14.131319,0.0077932496,14.089377,0.010391482,-0.053380013,-0.120513916,-0.17689419,503635968.0,60.0,50.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.1722011551491728e+17,11.5515105965226,1.288940289075326e-07,7.68903870093406,1.2276247233117283e-07,17.8365993499756,0.00243699993006885,17.0863990783691,0.00106200005393475,16.8115997314453,0.00112499995157123,16.7061996459961,0.00229500001296401,16.608699798584,0.00287700002081692,4875.0,4.25,-0.8,-37.02272,-37.732627,-37.977867,-38.073195,-38.156077,-38.239907,-38.285556,-37.835385,54.71358290973399,4.375318368806725e-06,0.00010663778998382204,15.596675909733985,0.0029000033005861956,15.059026909733987,0.0029000033005861956,15.042197909733984,0.0029000033005861956,2.5575245923616666e+18,11.551515879805809,0.08253302,7.68904022355358,0.037541334,0.7653960966153698,0.08124038,7.371942,7.2057795360074,0.1096461,1.5563652529626224,0.09270257,1.0159284,15.6221075,0.012299352,15.073018,0.019842552,15.039442,0.026922725,0.025431633,0.013991356,-0.0027561188,503635968.0,60.0,92.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.1728011160521974e+17,11.1605521822136,1.7251665609495692e-07,7.74103887097352,1.6057994694406472e-07,19.1198997497559,0.00631400011479855,17.9034996032715,0.00225699995644391,17.1198997497559,0.00119600002653897,16.8731994628906,0.0022960000205785,16.6618003845215,0.00373100000433624,3900.0,4.0,-3.0,-34.936763,-36.066944,-36.792519,-37.090509,-37.250959,-37.5299,-37.814565,-37.462941,53.87534375131908,1.3116607888679728e-05,0.020455420377318304,15.468443751319082,0.0029000296628487274,14.691778751319077,0.0029000296628487274,14.576402751319078,0.0029000296628487274,2.557563109628306e+18,11.160565388079174,0.14588292,7.74101943418626,0.06973245,1.6554859495598475,0.1529351,16.887075,8.517226678704365,0.1753318,-14.581844312702092,0.16392852,1.0880306,15.494934,0.011064198,14.859119,0.01523743,14.693967,0.018318016,0.026490211,0.16734028,0.1175642,503635968.0,60.0,85.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
