ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflag,zinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3,SAM Flag
1.028303591693027e+17,35.9169993,0.0081599997356534,-4.30642849,0.00803999975323677,21.86613412202654,0.05731099852353035,20.550697966188842,0.020246004682729083,19.911595440135073,0.011267020987926861,19.620127456142548,0.013287034142512321,19.3900511897576,0.03205301018575208,3700.0,5.25,-3.8,-35.321296,-36.317193,-36.986985,-37.128968,-37.499213,-37.672445,-37.998751,-37.539705,56.91845223485012,0.014177923342424709,0.5743293188338126,18.35162661148802,0.014177923342424709,17.53959277238244,0.014177923342424709,17.53540034027275,0.014177923342424709,2.4896411181245215e+18,35.91699626250289,0.79774344,-4.306425469203903,0.8092458,0.8804445979919132,0.92486566,1.3719677,-0.7880910562715812,1.641018,1.123035118113926,1.585393,0.94799644,436527104.0,52.0,69.0,5.0,195035141.0,655360.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.029903601140042e+17,36.01139181,0.004339999984949827,-4.17190989,0.004480000119656324,19.357414959964476,0.008344253634610263,18.353382344678934,0.0036363416030031456,17.7567919169614,0.0021063537834529952,17.536213145087082,0.004347121329054985,17.353732021791544,0.008774041611806036,3800.0,5.25,-3.8,-35.867083,-36.863333,-37.336236,-37.374505,-37.714677,-37.807618,-38.129643,-37.640044,55.10267367769669,0.0027067880987527155,0.4847465574289507,16.400675054334595,0.0027067880987527155,15.59292221522901,0.0027067880987527155,15.619282783119319,0.0027067880987527155,2.4900207932332155e+18,36.01139440938498,0.14273617,-4.171910586470849,0.12858237,0.5898911407164267,0.17049609,7.5134563,-0.361048773615536,0.17626484,-7.504776335975111,0.16280809,1.078571,503635968.0,60.0,69.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.0278035738961536e+17,35.73898644,0.005090000107884407,-4.34586954,0.005520000122487545,20.34054879850948,0.013552134927203242,19.217820039839378,0.006100171161023997,18.185654601717985,0.0035341895447638734,17.68863690162515,0.0037581379498346544,17.42566233113956,0.007495047217317065,3600.0,5.25,-3.8,-34.710644,-35.721542,-36.595287,-36.865073,-37.264321,-37.534743,-37.866763,-37.442545,54.803037934566305,0.003485181651834113,1.5949119426116811,16.373914311204206,0.003485181651834113,15.556166472098624,0.003485181651834113,15.517146039988932,0.003485181651834113,2.489642904830882e+18,35.73898928964099,0.22203591,-4.345870674135317,0.20301318,1.4657316119000627,0.2598772,8.924826,8.195716342617276,0.34557736,-3.533093376134592,0.25283122,1.0337002,503635968.0,60.0,69.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.0265035899758213e+17,35.89981475,0.013050000183284283,-4.45696043,0.012129999697208405,22.601496590310553,0.12428801885242532,21.396349260951062,0.04609101229941054,20.40056722031442,0.01620000043467761,20.00383975844829,0.018687019372110748,19.81096442163914,0.05128700302477842,3600.0,5.25,-3.8,-34.710644,-35.721542,-36.595287,-36.865073,-37.264321,-37.534743,-37.866763,-37.442545,57.0740168503327,0.02885404265014251,1.238717649078771,18.6448932269706,0.02885404265014251,17.827145387865016,0.02885404265014251,17.788124955755322,0.02885404265014251,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,53.0,5.0,195035141.0,655360.0,196608.0,195035141.0,655488.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,195035141.0,524288.0,196608.0,c1
1.0287036001923931e+17,36.00194379,0.014720000326633453,-4.2675868,0.013749999925494194,21.14418999973765,0.031316002146112194,20.748405927322384,0.026485018136609542,20.65326438685278,0.019015022293765897,20.494463359522904,0.03439001286265429,20.448074410069463,0.09391400560126785,5562.5,0.0,1.0,-38.004516,-38.371917,-38.519596,-38.57986,-38.623268,-38.545568,-38.404374,-37.950063,59.117511016701044,0.021951066198900457,0.06691549320405916,19.677562393338942,0.021951066198900457,19.333028554233366,0.021951066198900457,19.324101122123672,0.021951066198900457,2.4900167387852477e+18,36.00194723565181,5.2531133,-4.267587430537547,13.383346,nan,nan,nan,nan,nan,nan,nan,nan,436527104.0,52.0,60.0,10.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,195035141.0,524416.0,196608.0,K0
1.029103575556756e+17,35.75556645,0.002570000011473894,-4.23732388,0.0043299999088048935,20.501687389546493,0.016324107909450332,19.371867237572673,0.006763141697885687,18.105824818203804,0.0027822287393666463,17.553847681425076,0.0030191701751169707,17.293175240708102,0.005616062116224803,3600.0,5.25,-3.7,-34.370028,-35.353768,-36.408712,-36.78025,-37.127324,-37.440923,-37.784489,-37.399731,54.57329687349124,0.0037979622097268316,2.331779602654362,16.23799325012914,0.0037979622097268316,15.408699411023555,0.0037979622097268316,15.330218978913864,0.0037979622097268316,2.4898331547023493e+18,35.75556318915552,0.18842657,-4.237324327158312,0.1846252,1.4540996114535794,0.22590746,11.395891,-11.346021875861105,0.26231438,-1.06495698291594,0.24098076,0.8969354,503635968.0,60.0,76.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.0269035741085755e+17,35.74111012,0.0035800000187009573,-4.41904843,0.001449999981559813,17.056261526600967,0.0016007517239166613,16.357421697653816,0.0011583102030264963,16.20986847764766,0.0008619818729187167,16.083579072639363,0.0012764237816874295,16.022893483369774,0.002878130451178859,5250.0,2.0,-2.1,-37.545285,-38.186812,-38.363622,-38.412471,-38.518393,-38.493061,-38.378237,-37.922701,54.55132145158232,0.0007631512018403211,0.04831036176142273,15.163879828220221,0.0007631512018403211,14.792975989114638,0.0007631512018403211,14.785273557004944,0.0007631512018403211,2.4896357623005916e+18,35.74111462163995,0.05041895,-4.419047811047157,0.045660343,0.7958244567776038,0.058791768,14.50146,14.361408437684375,0.07224378,2.010545581884937,0.055582736,1.0262643,503635968.0,60.0,74.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
1.0279035915085475e+17,35.91513092,0.002090000081807375,-4.33812539,0.004509999882429838,16.378255299611222,0.0011175670241335349,15.603000061982835,0.0007001917789430047,15.404306806469688,0.0006413289999487239,15.280884710531701,0.0007966799164541667,15.242600011539242,0.0014322625222833755,5125.0,0.5,-1.9,-37.354825,-38.065416,-38.264858,-38.319956,-38.429727,-38.429055,-38.315384,-37.86827,53.66876577802694,0.00043984553147323165,0.06238117816621354,14.34533015466484,0.00043984553147323165,13.973273315559254,0.00043984553147323165,13.957148883449564,0.00043984553147323165,2.4896408819016054e+18,35.91513531022739,0.03521877,-4.338134288770685,0.029631305,1.3183147360773777,0.03856991,22.460754,11.497684020044506,0.053183507,-19.294785637811646,0.04116752,1.020013,503635968.0,60.0,82.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
1.0304035768667408e+17,35.76868513,0.005900000222027302,-4.13028605,0.01013999991118908,21.217534527359724,0.035028022114062245,19.999898762935974,0.011851039390170903,18.770440277586545,0.004907087712484981,18.079049854473443,0.004199115286016701,17.851977664300207,0.009337033917559667,3400.0,5.25,-3.9,-33.768109,-34.920906,-35.953811,-36.371386,-36.883879,-37.315431,-37.613851,-37.226192,54.76339841733118,0.007736411957054913,2.5055856757576453,16.553586793969085,0.007736411957054913,15.769438954863503,0.007736411957054913,15.693859522753813,0.007736411957054913,2.489835147567369e+18,35.76868969606123,0.3224216,-4.130290531004061,0.33256423,1.6995318738146497,0.39149818,8.451566,6.161344517157824,0.43532234,-5.785049380673936,0.472466,1.0187042,503635968.0,60.0,75.0,5.0,262144005.0,655488.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.0314035751157858e+17,35.75118972,0.013890000060200691,-4.0432635,0.020029999315738678,23.0323071187245,0.180940029070891,21.63121851262887,0.08671002789394913,20.390298247790383,0.021321009789936795,19.58935822300687,0.017199016612595132,19.334087393891632,0.03624300292142198,3300.0,5.25,-4.0,-33.270908,-34.470102,-35.584091,-36.085661,-36.673823,-37.22328,-37.517753,-37.143257,56.012370899208456,0.0411445597615089,2.6426721809049507,17.894710275846354,0.0411445597615089,17.114509436740775,0.0411445597615089,17.025767004631085,0.0411445597615089,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,38.0,5.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
