ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,ob_j,ob_j_error,ob_h,ob_h_error,ob_k,ob_k_error,diff_j,diff_h,diff_k,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflag,zinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3
1.4874297972955546e+17,297.972972562762,1.0528587633348304e-06,33.9539999867323,1.0528587633348304e-06,20.9323997497559,0.0319060012698174,19.9368000030518,0.0171840004622936,19.2231006622314,0.0109190000221133,18.8829002380371,0.0136580001562834,18.7710990905762,0.0264110006392002,6562.5,5.0,1.0,-38.755921,-38.969226,-39.033911,-39.021214,-38.997692,-38.873271,-38.659418,-38.172883,56.62730061372737,0.0004633178546866955,0.03281955517647294,17.680029613727367,0.013907719562691486,17.10788261372737,0.013907719562691486,16.960417613727373,0.013907719562691486,2.0351946486276936e+18,297.97296616055604,0.2069079,33.95399395395891,0.26656333,0.2946949436505064,0.29976988,0.98307055,6.5154233,-1.7161640871113022,0.28398615,-6.285341562052665,0.34150028,-999,-999,-999,-999,16.554731,0.08449175,-999,-999,-0.40568542,436527104.0,52.0,50.0,5.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0
1.488429806017577e+17,298.060258205351,1.6242989780868467e-06,34.0392083157261,1.6242989780868467e-06,21.8248996734619,0.0648489966988564,20.567699432373,0.0259739998728037,19.8122997283936,0.0146390004083514,19.3356990814209,0.0165260005742311,19.0762004852295,0.0280639994889498,5250.0,2.5,1.0,-37.56952,-38.03147,-38.243097,-38.323159,-38.377162,-38.369167,-38.328937,-37.883111,56.36067164940438,0.0012310076274983338,0.011999797228519732,17.917504649404382,0.013954403598110492,17.171734649404378,0.013954403598110492,16.98356064940438,0.013954403598110492,2.0352012500245683e+18,298.06024850734667,0.35515246,34.039198176349906,0.4488867,0.2258066279115296,0.5364015,0.42096567,7.3153944,-3.7625697927797077,0.51809627,-6.2736002718337485,0.6993241,-999,-999,-999,-999,16.699532,0.09822574,-999,-999,-0.284029,436527104.0,52.0,52.0,5.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0
1.4884298093504102e+17,298.093525056311,1.6482152855919206e-06,34.0336319733261,1.6482152855919206e-06,21.9104995727539,0.0657130032777786,20.6702003479004,0.0258670002222061,19.9841995239258,0.0165640003979206,19.4381008148193,0.0180130004882813,19.2782001495361,0.0291029997169971,5437.5,0.0,1.0,-37.838335,-38.263278,-38.438992,-38.506747,-38.534588,-38.49598,-38.371671,-37.92483,56.69938929065246,0.0012866238777163243,0.04997378505442577,18.129409290652458,0.013959419794630067,17.467718290652464,0.013959419794630067,17.280559290652462,0.013959419794630067,2.0352010095152783e+18,298.09350741225353,0.3827006,34.03362311239794,0.53412485,0.5954371332093029,0.5827617,1.0217507,6.949822,-2.777459207294242,0.5329987,-6.370694228000757,0.60990185,-999,-999,-999,-999,17.032913,0.109591134,-999,-999,-0.24764633,436527104.0,52.0,42.0,5.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0
1.488229794695086e+17,297.946944809262,1.1484249499524137e-06,34.0232898717919,1.1484249499524137e-06,21.1508007049561,0.0238639991730452,20.0074005126953,0.0190799999982119,19.3631992340088,0.00989000033587217,19.0163993835449,0.0146009996533394,18.7106990814209,0.0186999998986721,5875.0,0.0,-0.2,-38.395369,-38.707654,-38.775883,-38.800929,-38.858669,-38.703344,-38.485143,-38.020186,56.48142405174011,0.0003188456300387148,0.002089362141515182,17.70408005174011,0.013903656444827554,17.136281051740113,0.013903656444827554,16.96723805174011,0.013903656444827554,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,16.653097,0.0752908,-999,-999,-0.31414032,436527104.0,52.0,72.0,10.0,35651585.0,0.0,0.0,35651585.0,0.0,0.0,35651585.0,0.0,0.0,35651585.0,0.0,0.0,35651585.0,0.0,0.0
1.487729807095235e+17,298.070905966211,5.263697799672568e-07,33.97738723445,5.263697799672568e-07,20.6902008056641,0.021161999553442,19.4148006439209,0.0103890001773834,18.4990997314453,0.00518500013276935,17.9927997589111,0.00489499978721142,17.7415008544922,0.00876300036907196,4875.0,3.0,1.0,-37.080201,-37.659398,-37.934547,-38.05075,-38.126901,-38.169967,-38.19105,-37.771182,54.76983910734127,0.00013667939490950504,0.05463004452609141,16.525872107341268,0.013900671971418964,15.718789107341273,0.013900671971418964,15.504657107341268,0.013900671971418964,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,15.423335,0.034372896,-999,-999,-0.08132172,503635968.0,60.0,62.0,5.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0
1.4877297969918778e+17,297.969931695283,3.034633197073053e-07,33.980926172834,2.9635566073444265e-07,19.4962005615234,0.00732599990442395,18.0300998687744,0.00290700001642108,17.2721004486084,0.00191400002222508,16.9150009155273,0.00268499995581806,16.5575008392334,0.0032770000398159,5250.0,0.0,-2.1,-37.557107,-38.215516,-38.389863,-38.420847,-38.55549,-38.499871,-38.345817,-37.891813,54.01435496303579,1.6746454760773176e-05,0.0009406386692090893,15.440483963035792,0.01390001008790091,14.808537963035796,0.01390001008790091,14.628541963035795,0.01390001008790091,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,14.086718,0.009525622,-999,-999,-0.54182434,503635968.0,60.0,78.0,5.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0
1.4880297983839443e+17,297.983852915621,1.0431122815469508e-06,34.0031738042452,1.0431122815469508e-06,21.5652008056641,0.0356980003416538,20.2667007446289,0.0159200001507998,19.4719009399414,0.00984499976038933,19.0856990814209,0.0122880004346371,18.7322998046875,0.0174029991030693,5187.5,1.5,1.0,-37.503241,-37.988477,-38.209426,-38.294739,-38.353214,-38.353245,-38.321642,-37.875252,56.02414709120959,0.0004157153971878638,0.014488321462054997,17.59690209120959,0.013906215131784026,16.842505091209595,0.013906215131784026,16.65489509120959,0.013906215131784026,2.0351956493850435e+18,297.983844817511,0.26519424,34.003151356152216,0.3682557,0.5022782213459258,0.39542243,1.270232,11.109406,-6.3647302015249885,0.37080696,-9.105445094777444,0.51198447,-999,-999,-999,-999,16.427515,0.07243724,-999,-999,-0.22738075,436527104.0,52.0,74.0,10.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0
1.4885298114868026e+17,298.114889701634,6.93928801229758e-08,34.0413620428458,6.574204834996677e-08,17.271900177002,0.00195199996232986,15.6219997406006,0.000915999989956617,14.9687004089355,0.000719000003300607,14.3488998413086,0.000655999989248812,14.0462999343872,0.000763999996706843,4750.0,1.0,-0.3,-36.842451,-37.605793,-37.863825,-37.991021,-38.115122,-38.192214,-38.228958,-37.780446,51.06905995338529,1.2360705640290137e-06,0.08989587886624406,12.802845953385292,0.013900000054959368,11.980101953385292,0.013900000054959368,11.794613953385294,0.013900000054959368,2.035201146954242e+18,298.1148815718264,0.018075572,34.04135442569014,0.022061165,0.23837479840726025,0.02500212,9.5341835,6.835617,-4.116841018066871,0.025228105,-5.456856118234187,0.027898308,-999,-999,-999,-999,11.197541,0.0009558084,-999,-999,-0.5970726,503635968.0,60.0,72.0,5.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0
1.488229807804253e+17,298.078063871211,2.681005320950514e-07,34.0205657409199,2.5599467918179687e-07,19.2593002319336,0.00602900004014373,17.9750995635986,0.00326899997889996,17.4430999755859,0.00255000009201467,17.0188999176025,0.00310699990950525,16.7954998016357,0.0040710000321269,5937.5,0.5,-2.2,-38.417797,-38.810428,-38.874951,-38.866208,-38.922473,-38.772181,-38.517036,-38.054587,54.6013448327088,1.5952838502923744e-05,0.035935237187331714,15.755163832708792,0.01390000915442347,15.2243088327088,0.01390000915442347,15.052757832708801,0.01390000915442347,2.0352009751555208e+18,298.0780594603696,0.0661346,34.02055811431591,0.08225412,0.4470426962851547,0.095346674,4.688603,7.1607156,-3.9103270822893306,0.095908746,-5.998765706941924,0.11185028,-999,-999,-999,-999,14.794016,0.017354032,-999,-999,-0.25874233,503635968.0,60.0,74.0,5.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0
1.4883298043933504e+17,298.043922354441,3.5921517893817035e-07,34.0286783621788,3.5921517893817035e-07,19.7831993103027,0.0121750002726913,18.5916004180908,0.00538100022822618,17.9272994995117,0.00338399992324412,17.6054992675781,0.0042519997805357,17.3246994018555,0.00597399985417724,5937.5,1.5,-1.0,-38.392911,-38.758378,-38.845399,-38.842446,-38.888855,-38.756082,-38.542378,-38.080025,55.117437465741624,4.8481085393621e-05,0.00081102267803861,16.287355465741623,0.013900084547068084,15.715059465741625,0.013900084547068084,15.543412465741627,0.013900084547068084,2.035200872067374e+18,298.0438872733513,0.112409666,34.028665213389445,0.13702595,0.613688198254678,0.15465572,3.9680924,10.699551,-7.664080846622011,0.16029966,-7.466073137898533,0.17958651,-999,-999,-999,-999,15.056962,0.028195642,-999,-999,-0.4864502,444915712.0,53.0,64.0,5.0,35667969.0,0.0,196608.0,35667969.0,0.0,196608.0,35667969.0,0.0,196608.0,35667969.0,0.0,196608.0,35667969.0,0.0,196608.0
