ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,ob_j,ob_j_error,ob_h,ob_h_error,ob_k,ob_k_error,diff_j,diff_h,diff_k,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflagzinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3
1.0858334604804096e+17,334.604827778336,1.1574438464286447e-07,0.483758653954932,1.1538674806330827e-07,17.525899887085,0.00201699999161065,17.0373001098633,0.00160900002811104,16.8293991088867,0.000820000015664846,16.7327003479004,0.00230999989435077,16.6681003570557,0.00381899997591972,5312.5,1.0,1.0,-37.669489,-38.119377,-38.317917,-38.391635,-38.444222,-38.423305,-38.359979,-37.909683,55.070531052788525,5.4500860820568866e-06,0.0006069990534975243,15.799226052788526,0.02200000067507813,15.359552052788523,0.02200000067507813,15.336848052788524,0.02200000067507813,2.679111470083679e+18,334.60482824893563,0.07234118,0.48375196195236203,0.078299664,0.47979543417860093,0.0905963,5.8705907,0.41180205649368573,0.094691224,-5.856129783727555,0.090100855,1.0174879,15.780818,0.015405923,15.413377,0.02259274,15.431874,0.04039753,-0.018407822,0.053824425,0.095026016,503635968.0,60.0,97.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0830334421152571e+17,334.421145041648,1.121426158911769e-07,0.254386086478793,1.1056225717906932e-07,18.7303009033203,0.00435499986633658,17.4950008392334,0.00184499996248633,16.5849990844727,0.000834000005852431,16.1786003112793,0.00165899994317442,15.9497995376587,0.00211300002411008,3500.0,4.0,-1.7,-34.085098,-35.292921,-36.152701,-36.561673,-36.77328,-37.108918,-37.380331,-37.081206,52.68544204965305,6.056530924093993e-06,0.0023604082856083447,14.728524049653045,0.022000000833671957,13.954111049653049,0.022000000833671957,13.780236049653046,0.022000000833671957,2.679100921643943e+18,334.4211362102575,0.079814225,0.25436943231739967,0.0820214,2.055521405997451,0.09188536,19.764042,-9.767221121988847,0.10994311,-17.181930781336227,0.11142409,0.9272799,14.761593,0.006514777,14.148595,0.007554329,13.918207,0.009921315,0.033068657,0.19448376,0.13797092,503635968.0,60.0,87.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0865334278275082e+17,334.27827421582,1.8976280844602094e-07,0.541956710657533,1.9150430927348047e-07,20.112699508667,0.0104179996997118,18.8957004547119,0.004507000092417,17.6760005950928,0.00149099994450808,17.0620002746582,0.00286799995228648,16.7959003448486,0.00383799988776445,3200.0,4.0,-1.7,-33.216911,-34.415828,-35.649796,-36.202784,-36.462792,-36.865776,-36.9829,-36.73119,53.22286385529153,3.080530305511205e-05,0.008807426011188944,15.509087855291533,0.022000021567414343,14.888963855291529,0.022000021567414343,14.66767385529153,0.022000021567414343,2.679157374694162e+18,334.27827062021737,0.18325125,0.5419498728503647,0.23079431,2.0951324641741,0.18896168,13.269553,-4.918411146798569,0.23122345,-12.324377294347316,0.27015114,1.0669681,15.667573,0.017859934,14.953004,0.012792396,14.659037,0.01709293,0.15848541,0.064040184,-0.008637428,503635968.0,60.0,93.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0842333910840126e+17,333.91086866653,1.794409464951054e-07,0.350692617484454,1.771621551546349e-07,18.2534999847412,0.00313499988988042,17.7840003967285,0.00185799994505942,17.6040000915527,0.00142999994568527,17.6340007781982,0.00457300012931228,17.6082992553711,0.00882500037550926,5875.0,5.0,-2.1,-38.261763,-38.712791,-38.817799,-38.812099,-38.832876,-38.754137,-38.576164,-38.097634,56.387503416529455,2.2823649952095933e-05,0.007723138848073622,16.785366416529456,0.02200001183906493,16.460339416529457,0.02200001183906493,16.465869416529454,0.02200001183906493,2.6787840561372636e+18,333.9108668526135,0.1325339,0.35068665979490826,0.18833007,0.36909691742255274,0.1316921,4.874935,-1.0846241781990222,0.17023548,-4.752744711523753,0.22762498,0.9636631,16.615849,0.03548378,16.23184,0.051839247,16.171152,0.07147402,-0.16951752,-0.22849846,-0.2947178,503635968.0,60.0,96.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0870334336096677e+17,334.336094319622,6.579011821017542e-07,0.58860041517854,6.574973860665783e-07,20.6683006286621,0.0177020002156496,19.6858997344971,0.0093350000679493,19.262300491333,0.00540699996054173,19.1511993408203,0.012466000393033,19.0177001953125,0.0265560001134872,4500.0,5.0,-3.0,-36.25314,-37.219922,-37.586427,-37.724112,-37.829268,-37.985031,-38.127238,-37.723096,56.80362367240834,0.0002580721988606803,0.005053308872453435,17.970592672408344,0.022001513612927286,17.325385672408345,0.022001513612927286,17.256527672408343,0.022001513612927286,2.679157958809732e+18,334.336100864714,0.43552777,0.5885971934179528,0.58392966,0.48304955707505703,0.4418068,9.106807,7.017600051193912,0.5148509,-5.804069062076095,0.588803,0.9338834,18.097975,0.15264079,17.498426,0.13630252,17.198277,0.1654817,0.12738228,0.17304039,-0.058250427,436527104.0,52.0,82.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.087133445624956e+17,334.456270447995,5.837017606474092e-07,0.595983386278538,5.802404659760446e-07,21.1233005523682,0.0288280006498098,19.8642997741699,0.00938399974256754,18.9556007385254,0.00457199988886714,18.5813007354736,0.0130319995805621,18.3225002288818,0.0133170001208782,3500.0,4.0,-1.7,-34.085098,-35.292921,-36.152701,-36.561673,-36.77328,-37.108918,-37.380331,-37.081206,55.06711920682945,0.0002574383521809968,0.008762519163321299,17.11020120682945,0.022001506187194857,16.335788206829456,0.022001506187194857,16.16191320682945,0.022001506187194857,2.679163250209444e+18,334.45625910005026,0.30268577,0.595977102645625,0.32013088,0.21744533295614238,0.37052265,14.554989,-13.229147479995657,0.3896573,-6.069378552568485,0.36981708,0.9999824,17.263084,0.08377058,16.619272,0.07285181,16.565601,0.08392211,0.15288353,0.2834835,0.40368843,436527104.0,52.0,75.0,5.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0,262144005.0,524416.0,196608.0
1.0851334658559194e+17,334.658575920534,1.9520827314344058e-07,0.426216592826222,1.9598471286278687e-07,19.8369998931885,0.00871300045400858,18.6250991821289,0.0037750001065433,17.6343002319336,0.00164599996060133,17.2285003662109,0.00267599988728762,17.046199798584,0.00478800013661385,3600.0,4.75,-2.3,-34.070262,-35.243017,-36.182849,-36.610328,-36.806832,-37.1469,-37.474724,-37.169215,53.78148793953983,2.4592447858246563e-05,0.008713682823897485,15.786587939539828,0.022000013745188698,14.955763939539828,0.022000013745188698,14.788272939539828,0.022000013745188698,2.6791101987737093e+18,334.65859485955764,0.14821054,0.4262176800781869,0.15156022,1.0766403607782398,0.18085198,10.329897,9.892086344808487,0.19524439,-2.9754663607357843,0.19218488,1.0681655,15.852743,0.018057475,15.160384,0.021086095,14.971213,0.025156692,0.06615543,0.20462036,0.18294048,503635968.0,60.0,87.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.088433425796302e+17,334.257966909866,2.0011308197694526e-07,0.699772894497284,1.9725302435035512e-07,18.3122005462646,0.00300400005653501,17.7049007415771,0.00223600002937019,17.5030002593994,0.00144300004467368,17.3715000152588,0.00489199999719858,17.3537006378174,0.00698899989947677,5187.5,1.5,0.1,-37.502094,-38.057403,-38.264663,-38.347227,-38.388602,-38.398035,-38.345633,-37.895986,55.68448884972473,1.7776749033482256e-05,0.004895423188334934,16.43845384972473,0.02200000718210806,15.987855849724731,0.02200000718210806,15.96450284972473,0.02200000718210806,2.679180086481283e+18,334.2579730133097,0.12075921,0.6997661053147847,0.14373487,0.12944517013470624,0.14741504,10.633062,8.026241220311826,0.13723636,-6.974342881992542,0.15771265,0.90551764,16.416555,0.03111978,16.020645,0.02945803,15.935855,0.048761025,-0.02189827,0.03278923,-0.028648376,503635968.0,60.0,78.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.085333399451076e+17,333.99453630041,2.590164474160833e-07,0.447635513071679,2.6274622897485194e-07,19.9214000701904,0.0121370004490018,18.7261009216309,0.00395199982449412,18.0133991241455,0.00184399995487183,17.6404991149902,0.00395500008016825,17.4500007629395,0.00564200012013316,3700.0,4.75,-2.0,-34.568478,-35.762999,-36.453519,-36.79524,-36.972724,-37.286179,-37.685746,-37.337478,54.38525601260574,4.275992186703044e-05,0.0040922182050572116,16.25107701260574,0.022000041554754345,15.348510012605736,0.022000041554754345,15.22377801260574,0.022000041554754345,2.6787921993952896e+18,333.9945340117445,0.18240295,0.4476258731590846,0.19734311,0.61028404295581,0.18847355,11.692138,-3.415773224243252,0.2391059,-11.182064694368151,0.26615468,0.8820702,16.348633,0.028669264,15.624949,0.032105498,15.357814,0.04213483,0.09755516,0.27643967,0.13403606,503635968.0,60.0,89.0,10.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
1.0797334477524189e+17,334.477557383828,2.307886334325689e-07,-0.0238259201423014,2.287885589756402e-07,20.0785999298096,0.0105440001934767,18.8283996582031,0.0040179998613894,17.7588996887207,0.00158000004012138,17.1837997436523,0.00338899996131659,16.9629001617432,0.0043049999512732,3400.0,4.0,-2.1,-33.6703,-34.84886,-35.951516,-36.468484,-36.704519,-37.059831,-37.256912,-36.990189,53.615952545281516,3.196700168224232e-05,0.010034087025495665,15.708121545281514,0.022000023224742208,15.008040545281517,0.022000023224742208,14.801763545281515,0.022000023224742208,2.6787055784944026e+18,334.47756491499416,0.16243902,-0.023828043364523994,0.15611978,0.8575342035144397,0.19977023,9.518866,9.049938065654953,0.1856005,-2.950834858151634,0.20188513,0.9553459,15.828176,0.016622584,15.196436,0.018959427,14.922186,0.026317455,0.120054245,0.1883955,0.12042236,503635968.0,60.0,92.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0
