ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflag,zinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3,diff_j,diff_h,diff_k,observed_j,obseved_j_error,observed_h,observed_h_error,observed_k,observed_k_error
1.051508823078994e+17,88.2307961,0.017020000144839287,-2.36752943,0.02572000026702881,19.015935603453435,0.02054663399288976,18.39286560893779,0.008516471438347342,"[18.16433567 16.94561565 17.15921044 ... 17.90928535 19.36812775
 18.35916181]",0.006035923460128252,"[18.03816914 16.68141997 16.82609895 ... 17.41478563 19.17643894
 18.41184207]",0.01009729890906028,"[17.9906528  16.64489681 16.76288161 ... 17.15986917 19.09207211
 18.30362169]",0.022529072826310087,5062.5,2.5,0.2,-37.340108,-37.895235,-38.12274,-38.209275,-38.263042,-38.303947,-38.297263,-37.854675,56.28647176427758,0.006754676584075893,0.08597361103799667,17.474248592011573,0.006754676584075893,16.85361496830094,0.006754676584075893,16.75291185027993,0.006754676584075893,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,436527104.0,52.0,60.0,5.0,102760453.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0,[-0.04842347],[-0.11026399],[-0.01558618],[17.42582512],[0.06342664],[16.74335098],[0.05567411],[16.73732567],[0.08539377]
1.0469088076097126e+17,88.07612023,0.001500000013038516,-2.7576514,0.002199999988079071,17.75407829990483,0.007597679827992485,17.12350474237612,0.0037392761432757018,"[18.16433567 16.94561565 17.15921044 ... 17.90928535 19.36812775
 18.35916181]",0.002980427133721153,"[18.03816914 16.68141997 16.82609895 ... 17.41478563 19.17643894
 18.41184207]",0.0034568431135253946,"[17.9906528  16.64489681 16.76288161 ... 17.15986917 19.09207211
 18.30362169]",0.005886086099962013,4900.0,3.25,-1.6,-37.096765,-37.655586,-37.899497,-38.013698,-38.076834,-38.159873,-38.215689,-37.782542,54.77837909355014,0.0022555322620744756,0.15698324435292477,16.11022992128414,0.0022555322620744756,15.427096297573506,0.0022555322620744756,15.316952179552496,0.0022555322620744756,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,503635968.0,60.0,75.0,5.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,[-0.22916551],[0.10575969],[0.06285625],[15.88106441],[0.01523785],[15.53285599],[0.01760816],[15.37980843],[0.02231668]
1.0501088173044533e+17,88.17304127,0.0035800000187009573,-2.48760796,0.00558000011369586,19.01658256513624,0.02062050919021131,17.948761384003745,0.012533785078589646,"[18.16433567 16.94561565 17.15921044 ... 17.90928535 19.36812775
 18.35916181]",0.003092668445734082,"[18.03816914 16.68141997 16.82609895 ... 17.41478563 19.17643894
 18.41184207]",0.004211370217167747,"[17.9906528  16.64489681 16.76288161 ... 17.15986917 19.09207211
 18.30362169]",0.0090061804876189,3800.0,5.25,-3.7,-35.397698,-36.404124,-37.058686,-37.228045,-37.514694,-37.683869,-38.007623,-37.567673,54.26335638939633,0.005256282685916806,0.8359081696599289,16.071211217130323,0.005256282685916806,15.120139593419687,0.005256282685916806,15.016798475398682,0.005256282685916806,3.0256159968675046e+18,88.1730408569687,0.18248901,-2.48760886894614,0.16469821,1.2766151189818997,0.20355165,2.657927,0.9368485324472839,0.21043639,-2.487346057888434,0.16840097,1.0012227,503635968.0,60.0,43.0,5.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,[-0.07613313],[0.07264376],[-0.05716656],[15.99507809],[0.01598137],[15.19278336],[0.01279261],[14.95963192],[0.01549266]
1.046008819282085e+17,88.19283699,0.0015899999998509884,-2.82662025,0.01181000005453825,20.533998828113177,0.07530111480788923,19.21527981400671,0.015797104116248545,"[18.16433567 16.94561565 17.15921044 ... 17.90928535 19.36812775
 18.35916181]",0.005798946915112211,"[18.03816914 16.68141997 16.82609895 ... 17.41478563 19.17643894
 18.41184207]",0.0049763220438411426,"[17.9906528  16.64489681 16.76288161 ... 17.15986917 19.09207211
 18.30362169]",0.007539977238974487,3400.0,5.25,-3.9,-33.768109,-34.920906,-35.953811,-36.371386,-36.883879,-37.315431,-37.613851,-37.226192,54.0195055307642,0.015537115836529086,2.234068615148625,16.195798358498198,0.015537115836529086,15.270060734787563,0.015537115836529086,15.114428616766554,0.015537115836529086,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,503635968.0,60.0,63.0,5.0,35651585.0,0.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,[0.01788763],[0.18132667],[-0.04432116],[16.21368599],[0.01997755],[15.45138741],[0.01616914],[15.07010746],[0.01739828]
1.0462088279546278e+17,88.27945215,0.00171999994199723,-2.81479231,0.0019399999873712659,16.723962093155635,0.00387071266125908,15.953737822120653,0.0021144568463634284,"[18.16433567 16.94561565 17.15921044 ... 17.90928535 19.36812775
 18.35916181]",0.0014025737528576452,"[18.03816914 16.68141997 16.82609895 ... 17.41478563 19.17643894
 18.41184207]",0.0016682581303157924,"[17.9906528  16.64489681 16.76288161 ... 17.15986917 19.09207211
 18.30362169]",0.002579938867618826,4600.0,3.25,-1.6,-36.610738,-37.278006,-37.57614,-37.726719,-37.818319,-37.957552,-38.093452,-37.672482,53.22705362643019,0.0011110306412225497,0.17766183159676344,14.761225454164187,0.0011110306412225497,13.998007830453552,0.0011110306412225497,13.875686712432541,0.0011110306412225497,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,503635968.0,60.0,78.0,10.0,102760517.0,128.0,0.0,102760517.0,128.0,0.0,102760517.0,128.0,0.0,102760517.0,128.0,0.0,102760517.0,128.0,0.0,[-0.00047659],[0.10351938],[0.08630269],[14.76074886],[0.00613341],[14.10152721],[0.00500658],[13.9619894],[0.00612475]
1.0481088163977642e+17,88.16398277,0.01665000058710575,-2.65334695,0.01217000000178814,16.754255483467613,0.004283721996969745,15.980325621848205,0.0025281395881965023,"[18.16433567 16.94561565 17.15921044 ... 17.90928535 19.36812775
 18.35916181]",0.0015098364341531321,"[18.03816914 16.68141997 16.82609895 ... 17.41478563 19.17643894
 18.41184207]",0.0018193590577428751,"[17.9906528  16.64489681 16.76288161 ... 17.15986917 19.09207211
 18.30362169]",0.003115595193953227,4700.0,4.0,-1.9,-36.414708,-37.11401,-37.414485,-37.54154,-37.627886,-37.736709,-37.816393,-37.377369,53.07581955513571,0.001265517613882961,0.17217731976056933,14.830834382869707,0.001265517613882961,14.123832759159072,0.001265517613882961,14.01956564113806,0.001265517613882961,3.0255873795024543e+18,88.16399005253638,0.07150029,-2.653343476761862,0.07188937,0.14559828075651177,0.09322827,0.9547887,0.8687654287508516,0.08115556,0.396065707875519,0.07411482,0.9983246,503635968.0,60.0,67.0,5.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,[-0.12592506],[-0.00044733],[-0.07309824],[14.70490932],[0.00597183],[14.12338543],[0.00548172],[13.9464674],[0.00648506]
1.0510088102409027e+17,88.1024275,0.008630000054836273,-2.41681798,0.036320000886917114,18.285056401570337,0.010773601568417258,17.7034021700424,0.007490019455724716,"[18.16433567 16.94561565 17.15921044 ... 17.90928535 19.36812775
 18.35916181]",0.003641054839157281,"[18.03816914 16.68141997 16.82609895 ... 17.41478563 19.17643894
 18.41184207]",0.007571936170349188,"[17.9906528  16.64489681 16.76288161 ... 17.15986917 19.09207211
 18.30362169]",0.014345574789565465,5625.0,4.0,-2.2,-37.987205,-38.518728,-38.652049,-38.666669,-38.710155,-38.658948,-38.497859,-38.030106,56.238862013615666,0.004235837088249485,0.02155785745660882,17.07163784134966,0.004235837088249485,16.60540921763903,0.004235837088249485,16.529871099618013,0.004235837088249485,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,436527104.0,52.0,66.0,9.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,[-0.03489849],[0.02544253],[-0.29534351],[17.03673935],[0.04538079],[16.63085175],[0.0502605],[16.23452759],[0.05808072]
1.047208830356687e+17,88.30356463,0.013269999995827675,-2.72643396,0.015399999916553497,20.282418245610717,0.06106835759324938,19.705695026964758,0.024332710605946082,"[18.16433567 16.94561565 17.15921044 ... 17.90928535 19.36812775
 18.35916181]",0.020213525764553753,"[18.03816914 16.68141997 16.82609895 ... 17.41478563 19.17643894
 18.41184207]",0.027839471305639744,"[17.9906528  16.64489681 16.76288161 ... 17.15986917 19.09207211
 18.30362169]",0.048500810067056935,4900.0,5.0,-2.0,-37.133188,-37.691784,-37.934121,-38.034155,-38.104453,-38.186576,-38.247609,-37.807096,57.38758357396799,0.01772836875535056,0.19562600327505975,18.69273140170198,0.01772836875535056,18.00438077799135,0.01772836875535056,17.901602659970337,0.01772836875535056,3.0254209409274793e+18,88.30356350581195,36.00318,-2.7264322418595053,35.33716,nan,nan,nan,nan,nan,nan,nan,nan,436527104.0,52.0,51.0,5.0,35651585.0,0.0,196608.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0,102760453.0,128.0,196608.0,35651585.0,128.0,196608.0,[-0.08154251],[-0.15496023],[-0.05492488],[18.61118889],[0.17074345],[17.84942055],[0.14446108],[17.84667778],[0.18020596]
1.0462088279536464e+17,88.27954802,0.0014900000533089042,-2.81316272,0.004769999999552965,18.775909116641344,0.01501156411154393,18.353682146244022,0.008310786765319244,"[18.16433567 16.94561565 17.15921044 ... 17.90928535 19.36812775
 18.35916181]",0.005482815286263431,"[18.03816914 16.68141997 16.82609895 ... 17.41478563 19.17643894
 18.41184207]",0.008946287713091616,"[17.9906528  16.64489681 16.76288161 ... 17.15986917 19.09207211
 18.30362169]",0.018484598225319827,5437.5,1.0,1.0,-37.820977,-38.232921,-38.410421,-38.473657,-38.501092,-38.479818,-38.38607,-37.937089,56.56866514200256,0.005463310105032641,0.08262052562025879,17.580570969736552,0.005463310105032641,17.047001346025922,0.005463310105032641,16.95269122800491,0.005463310105032641,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,436527104.0,52.0,71.0,10.0,102760517.0,128.0,0.0,102760453.0,128.0,0.0,102760453.0,128.0,0.0,102760453.0,128.0,0.0,102760453.0,128.0,0.0,[0.12947771],[0.17011596],[0.05005726],[17.71004868],[0.07436078],[17.21711731],[0.07805746],[17.00274849],[0.080841]
1.0489088281473875e+17,88.28150181,0.011370000429451466,-2.58473686,0.005270000081509352,20.607451298598708,0.09811968272178512,19.39330449391442,0.020038952745890088,"[18.16433567 16.94561565 17.15921044 ... 17.90928535 19.36812775
 18.35916181]",0.009486287894023985,"[18.03816914 16.68141997 16.82609895 ... 17.41478563 19.17643894
 18.41184207]",0.013327316160822071,"[17.9906528  16.64489681 16.76288161 ... 17.15986917 19.09207211
 18.30362169]",0.026067883803619497,3600.0,5.25,-3.9,-35.051259,-36.089317,-36.781863,-36.949897,-37.401318,-37.628562,-37.949038,-37.48536,55.4452097061853,0.020953446823502444,0.7968955347445829,17.308371533919296,0.020953446823502444,16.36057791020866,0.020953446823502444,16.280964792187653,0.020953446823502444,3.025610778484263e+18,88.28150261308187,0.56826776,-2.584741273137222,0.5907031,1.6309606851531624,0.7429461,13.018225,6.477407758837267,0.71916956,-11.292359131905709,0.63792497,1.0479482,436527104.0,52.0,38.0,5.0,35651585.0,0.0,196608.0,102760453.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,102760517.0,128.0,196608.0,[-0.06904506],[0.12889353],[-0.03220838],[17.23932648],[0.0503157],[16.48947144],[0.04595667],[16.24875641],[0.04937837]
